UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Sep10 ?        00:00:02 /sbin/init
root         2     0  0 Sep10 ?        00:00:01 [kthreadd]
root         3     2  0 Sep10 ?        00:02:51 [migration/0]
root         4     2  0 Sep10 ?        00:06:30 [ksoftirqd/0]
root         5     2  0 Sep10 ?        00:00:00 [stopper/0]
root         6     2  0 Sep10 ?        00:00:10 [watchdog/0]
root         7     2  0 Sep10 ?        00:00:45 [migration/1]
root         8     2  0 Sep10 ?        00:00:00 [stopper/1]
root         9     2  0 Sep10 ?        00:08:15 [ksoftirqd/1]
root        10     2  0 Sep10 ?        00:00:10 [watchdog/1]
root        11     2  0 Sep10 ?        00:03:41 [migration/2]
root        12     2  0 Sep10 ?        00:00:00 [stopper/2]
root        13     2  0 Sep10 ?        00:07:35 [ksoftirqd/2]
root        14     2  0 Sep10 ?        00:00:09 [watchdog/2]
root        15     2  0 Sep10 ?        00:00:39 [migration/3]
root        16     2  0 Sep10 ?        00:00:00 [stopper/3]
root        17     2  0 Sep10 ?        00:07:51 [ksoftirqd/3]
root        18     2  0 Sep10 ?        00:00:09 [watchdog/3]
root        19     2  0 Sep10 ?        00:06:48 [events/0]
root        20     2  0 Sep10 ?        00:08:30 [events/1]
root        21     2  0 Sep10 ?        00:56:38 [events/2]
root        22     2  0 Sep10 ?        00:10:44 [events/3]
root        23     2  0 Sep10 ?        00:00:00 [events/0]
root        24     2  0 Sep10 ?        00:00:00 [events/1]
root        25     2  0 Sep10 ?        00:00:00 [events/2]
root        26     2  0 Sep10 ?        00:00:00 [events/3]
root        27     2  0 Sep10 ?        00:00:00 [events_long/0]
root        28     2  0 Sep10 ?        00:00:00 [events_long/1]
root        29     2  0 Sep10 ?        00:00:00 [events_long/2]
root        30     2  0 Sep10 ?        00:00:00 [events_long/3]
root        31     2  0 Sep10 ?        00:00:00 [events_power_ef]
root        32     2  0 Sep10 ?        00:00:00 [events_power_ef]
root        33     2  0 Sep10 ?        00:00:00 [events_power_ef]
root        34     2  0 Sep10 ?        00:00:00 [events_power_ef]
root        35     2  0 Sep10 ?        00:00:00 [cgroup]
root        36     2  0 Sep10 ?        00:00:00 [khelper]
root        37     2  0 Sep10 ?        00:00:00 [netns]
root        38     2  0 Sep10 ?        00:00:00 [async/mgr]
root        39     2  0 Sep10 ?        00:00:00 [pm]
