
Name                                          Status StartType
----                                          ------ ---------
MSExchangeUMCR                               Running Automatic
MSExchangeUM                                 Running Automatic
NetBackup Client Service                     Running Automatic
MSMQ                                         Running Automatic
MSExchangeTransportLogSearch                 Running Automatic
MSExchangeSubmission                         Running Automatic
MSExchangeServiceHost                        Running Automatic
MSExchangeTransport                          Running Automatic
MSExchangeThrottling                         Running Automatic
NetBackup Discovery Framework                Running Automatic
NetTcpPortSharing                            Running Automatic
NetTcpActivator                              Running Automatic
nsi                                          Running Automatic
NlaSvc                                       Running Automatic
NetPipeActivator                             Running Automatic
NetBackup Legacy Network Service             Running Automatic
NetBackup Legacy Client Service              Running Automatic
NetMsmqActivator                             Running Automatic
Netlogon                                     Running Automatic
MSExchangeRPC                                Running Automatic
MSExchangeDagMgmt                            Running Automatic
MSExchangeCompliance                         Running Automatic
MSExchangeDiagnostics                        Running Automatic
MSExchangeDelivery                           Running Automatic
MSExchangeAntispamUpdate                     Running Automatic
MSComplianceAudit                            Running Automatic
MpsSvc                                       Running Automatic
MSExchangeADTopology                         Running Automatic
MSDTC                                        Running Automatic
MSExchangeEdgeSync                           Running Automatic
MSExchangeMailboxReplication                 Running Automatic
MSExchangeMailboxAssistants                  Running Automatic
MSExchangeRepl                               Running Automatic
MSExchangeNotificationsBroker                Stopped Automatic
MSExchangeIS                                 Running Automatic
MSExchangeFrontEndTransport                  Running Automatic
MSExchangeFastSearch                         Running Automatic
MSExchangeHMRecovery                         Running Automatic
MSExchangeHM                                 Running Automatic
VMTools                                      Running Automatic
VGAuthService                                Running Automatic
VRTSpbx                                      Running Automatic
VMwareCAFManagementAgentHost                 Running Automatic
UserManager                                  Running Automatic
tiledatamodelsvc                             Running Automatic
Themes                                       Running Automatic
UALSVC                                       Running Automatic
TrkWks                                       Running Automatic
W32Time                                      Running Automatic
WMSVC                                        Running Automatic
WinRM                                        Running Automatic
wuauserv                                     Stopped Automatic
WpnService                                   Running Automatic
Winmgmt                                      Running Automatic
WbioSrvc                                     Stopped Automatic
W3SVC                                        Running Automatic
WinDefend                                    Running Automatic
Wcmsvc                                       Running Automatic
TermService                                  Running Automatic
Power                                        Running Automatic
PcaSvc                                       Running Automatic
RemoteRegistry                               Running Automatic
ProfSvc                                      Running Automatic
OneSyncSvc_693190                            Running Automatic
OneSyncSvc_1f2357ec4                         Running Automatic
OneSyncSvc_1d0d9208f                         Running Automatic
OneSyncSvc_4b911a                            Running Automatic
Zabbix Agent                                 Running Automatic
RpcEptMapper                                 Running Automatic
Spooler                                      Running Automatic
ShellHWDetection                             Running Automatic
SystemEventsBroker                           Running Automatic
sppsvc                                       Stopped Automatic
SENS                                         Running Automatic
SamSs                                        Running Automatic
RpcSs                                        Running Automatic
SearchExchangeTracing                        Running Automatic
Schedule                                     Running Automatic
MapsBroker                                   Stopped Automatic
Dnscache                                     Running Automatic
DPS                                          Running Automatic
DiagTrack                                    Running Automatic
BFE                                          Running Automatic
Dhcp                                         Running Automatic
FontCache                                    Running Automatic
gpsvc                                        Running Automatic
FMS                                          Running Automatic
EventLog                                     Running Automatic
EventSystem                                  Running Automatic
DcomLaunch                                   Running Automatic
CDPUserSvc_1d0d9208f                         Running Automatic
CDPSvc                                       Running Automatic
CDPUserSvc_4b911a                            Running Automatic
CDPUserSvc_1f2357ec4                         Running Automatic
CDPUserSvc_3a949f1dd                         Running Automatic
CoreMessagingRegistrar                       Running Automatic
CryptSvc                                     Running Automatic
ClusSvc                                      Running Automatic
CDPUserSvc_693190                            Running Automatic
BrokerInfrastructure                         Running Automatic
LanmanWorkstation                            Running Automatic
OneSyncSvc_3a949f1dd                         Running Automatic
iphlpsvc                                     Running Automatic
IKEEXT                                       Running Automatic
IISADMIN                                     Running Automatic
LSM                                          Running Automatic
AppHostSvc                                   Running Automatic
LanmanServer                                 Running Automatic
HostControllerService                        Running Automatic
UnistoreSvc_1f2357ec4                        Stopped    Manual
upnphost                                     Stopped    Manual
wsbexchange                                  Stopped    Manual
UnistoreSvc_693190                           Stopped    Manual
UnistoreSvc_4b911a                           Stopped    Manual
UnistoreSvc_3a949f1dd                        Stopped    Manual
WpnUserService_693190                        Stopped    Manual
UserDataSvc_693190                           Stopped    Manual
WpnUserService_4b911a                        Stopped    Manual
BITS                                         Stopped    Manual
VaultSvc                                     Running    Manual
UsoSvc                                       Stopped    Manual
UserDataSvc_1d0d9208f                        Stopped    Manual
StateRepository                              Running    Manual
UserDataSvc_1f2357ec4                        Stopped    Manual
UserDataSvc_4b911a                           Stopped    Manual
UserDataSvc_3a949f1dd                        Stopped    Manual
XblAuthManager                               Stopped    Manual
SysMain                                      Stopped    Manual
TapiSrv                                      Stopped    Manual
TabletInputService                           Running    Manual
XblGameSave                                  Stopped    Manual
StorSvc                                      Running    Manual
AJRouter                                     Stopped    Manual
swprv                                        Stopped    Manual
svsvc                                        Stopped    Manual
wudfsvc                                      Running    Manual
UI0Detect                                    Stopped    Manual
stisvc                                       Stopped    Manual
UnistoreSvc_1d0d9208f                        Stopped    Manual
UmRdpService                                 Running    Manual
TrustedInstaller                             Stopped    Manual
TieringEngineService                         Stopped    Manual
c2wts                                        Stopped    Manual
TimeBrokerSvc                                Running    Manual
bthserv                                      Stopped    Manual
vds                                          Stopped    Manual
WEPHOSTSVC                                   Stopped    Manual
Wecsvc                                       Stopped    Manual
wercplsupport                                Stopped    Manual
WiaRpc                                       Stopped    Manual
WerSvc                                       Stopped    Manual
AppReadiness                                 Stopped    Manual
WAS                                          Running    Manual
WdiServiceHost                               Running    Manual
WdNisSvc                                     Stopped    Manual
WdiSystemHost                                Stopped    Manual
wisvc                                        Stopped    Manual
AppIDSvc                                     Stopped    Manual
WPDBusEnum                                   Stopped    Manual
wmiApSrv                                     Stopped    Manual
wlidsvc                                      Stopped    Manual
WinHttpAutoProxySvc                          Running    Manual
AppMgmt                                      Running    Manual
Appinfo                                      Running    Manual
ALG                                          Stopped    Manual
WpnUserService_1d0d9208f                     Stopped    Manual
vmicvmsession                                Stopped    Manual
vmictimesync                                 Stopped    Manual
vmicvss                                      Stopped    Manual
vmvss                                        Stopped    Manual
AxInstSV                                     Stopped    Manual
vmicheartbeat                                Stopped    Manual
vmicguestinterface                           Stopped    Manual
vmickvpexchange                              Stopped    Manual
vmicshutdown                                 Stopped    Manual
vmicrdv                                      Stopped    Manual
WpnUserService_3a949f1dd                     Stopped    Manual
w3logsvc                                     Stopped    Manual
AppXSvc                                      Stopped    Manual
WpnUserService_1f2357ec4                     Stopped    Manual
WalletService                                Stopped    Manual
Audiosrv                                     Stopped    Manual
VMwareCAFCommAmqpListener                    Stopped    Manual
AudioEndpointBuilder                         Stopped    Manual
aspnet_state                                 Stopped    Manual
VSS                                          Stopped    Manual
DsmSvc                                       Stopped    Manual
DsSvc                                        Stopped    Manual
NetBackup Proxy Service                      Stopped    Manual
dot3svc                                      Stopped    Manual
Netman                                       Running    Manual
mtstrmd                                      Stopped    Manual
embeddedmode                                 Stopped    Manual
NcbService                                   Running    Manual
Eaphost                                      Stopped    Manual
EFS                                          Stopped    Manual
netprofm                                     Running    Manual
DevQueryBroker                               Stopped    Manual
diagnosticshub.standardcollector.service     Stopped    Manual
DeviceInstall                                Stopped    Manual
defragsvc                                    Stopped    Manual
DeviceAssociationService                     Stopped    Manual
dmwappushservice                             Stopped    Manual
NetSetupSvc                                  Stopped    Manual
DmEnrollmentSvc                              Stopped    Manual
NgcSvc                                       Stopped    Manual
NgcCtnrSvc                                   Stopped    Manual
KPSSVC                                       Stopped    Manual
KtmRm                                        Stopped    Manual
KeyIso                                       Running    Manual
MSExchangeIMAP4BE                            Stopped    Manual
MSExchangeImap4                              Stopped    Manual
lltdsvc                                      Stopped    Manual
lmhosts                                      Running    Manual
LiveUpdate                                   Stopped    Manual
lfsvc                                        Running    Manual
LicenseManager                               Running    Manual
icssvc                                       Stopped    Manual
fdPHost                                      Stopped    Manual
FDResPub                                     Stopped    Manual
EntAppSvc                                    Stopped    Manual
msiserver                                    Stopped    Manual
MSiSCSI                                      Stopped    Manual
hidserv                                      Stopped    Manual
HvHost                                       Stopped    Manual
MSExchangePop3                               Stopped    Manual
FrameServer                                  Stopped    Manual
MSExchangePOP3BE                             Stopped    Manual
ClipSVC                                      Stopped    Manual
ScDeviceEnum                                 Running    Manual
SCPolicySvc                                  Stopped    Manual
seclogon                                     Stopped    Manual
CertPropSvc                                  Running    Manual
RpcLocator                                   Stopped    Manual
RPCHTTPLBS                                   Stopped    Manual
COMSysApp                                    Running    Manual
sacsvr                                       Stopped    Manual
RSoPProv                                     Stopped    Manual
smphost                                      Stopped    Manual
SmbWitness                                   Stopped    Manual
SNMPTRAP                                     Stopped    Manual
SstpSvc                                      Stopped    Manual
SSDPSRV                                      Running    Manual
SensorService                                Stopped    Manual
SensorDataService                            Stopped    Manual
SensrSvc                                     Stopped    Manual
SharedAccess                                 Stopped    Manual
SessionEnv                                   Running    Manual
PlugPlay                                     Running    Manual
pla                                          Running    Manual
PimIndexMaintenanceSvc_693190                Stopped    Manual
DcpSvc                                       Stopped    Manual
PrintNotify                                  Stopped    Manual
PolicyAgent                                  Running    Manual
PimIndexMaintenanceSvc_1d0d9208f             Stopped    Manual
PhoneSvc                                     Stopped    Manual
PerfHost                                     Stopped    Manual
PimIndexMaintenanceSvc_4b911a                Stopped    Manual
PimIndexMaintenanceSvc_3a949f1dd             Stopped    Manual
PimIndexMaintenanceSvc_1f2357ec4             Stopped    Manual
RasAuto                                      Stopped    Manual
RasMan                                       Stopped    Manual
RmSvc                                        Stopped    Manual
QWAVE                                        Stopped    Manual
WSearch                                      Stopped  Disabled
NcaSvc                                       Stopped  Disabled
RemoteAccess                                 Stopped  Disabled
CscService                                   Stopped  Disabled
tzautoupdate                                 Stopped  Disabled
AppVClient                                   Stopped  Disabled
Browser                                      Stopped  Disabled
NetBackup SAN Client Fibre Transport Service Stopped  Disabled
UevAgentService                              Stopped  Disabled
SCardSvr                                     Stopped  Disabled
