Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
noderunner.exe               56548 Services                   0  2,553,288 K
Microsoft.Exchange.RpcCli     8184 Services                   0  2,010,148 K
noderunner.exe               27288 Services                   0  1,258,268 K
w3wp.exe                     60100 Services                   0  1,239,448 K
w3wp.exe                     58228 Services                   0  1,202,960 K
Microsoft.Exchange.Store.    40996 Services                   0  1,078,484 K
Microsoft.Exchange.Store.    57932 Services                   0  1,002,300 K
w3wp.exe                     11816 Services                   0  1,000,900 K
Microsoft.Exchange.Store.    61232 Services                   0    947,020 K
Microsoft.Exchange.Store.    21296 Services                   0    942,788 K
Microsoft.Exchange.Store.    51948 Services                   0    913,432 K
w3wp.exe                     31952 Services                   0    849,532 K
w3wp.exe                     33364 Services                   0    845,724 K
EdgeTransport.exe            14792 Services                   0    730,688 K
MSExchangeHMWorker.exe       31336 Services                   0    517,800 K
MSExchangeFrontendTranspo     8164 Services                   0    484,572 K
MSExchangeDelivery.exe        7416 Services                   0    443,888 K
MSExchangeMailboxAssistan    42144 Services                   0    421,180 K
w3wp.exe                     55636 Services                   0    414,464 K
w3wp.exe                     59280 Services                   0    412,380 K
System                           4 Services                   0    324,248 K
lsass.exe                      832 Services                   0    286,204 K
Microsoft.Exchange.Store.    53920 Services                   0    282,960 K
msexchangerepl.exe           27200 Services                   0    276,540 K
Microsoft.Exchange.Store.    11932 Services                   0    273,884 K
w3wp.exe                      5316 Services                   0    273,820 K
ComplianceAuditService.ex     8240 Services                   0    273,688 K
Microsoft.Exchange.Store.    25264 Services                   0    270,408 K
Microsoft.Exchange.Store.    21196 Services                   0    264,088 K
Microsoft.Exchange.Search    55552 Services                   0    264,060 K
Microsoft.Exchange.Store.    14620 Services                   0    261,412 K
Microsoft.Exchange.Store.    27640 Services                   0    254,404 K
Microsoft.Exchange.Store.    14760 Services                   0    251,324 K
Microsoft.Exchange.Store.    48480 Services                   0    248,712 K
Microsoft.Exchange.Store.    26852 Services                   0    243,636 K
w3wp.exe                     40408 Services                   0    235,304 K
Microsoft.Exchange.Servic     5336 Services                   0    228,440 K
w3wp.exe                     43312 Services                   0    226,368 K
Microsoft.Exchange.Store.    40308 Services                   0    226,024 K
w3wp.exe                     58648 Services                   0    223,220 K
MSExchangeSubmission.exe      7412 Services                   0    218,816 K
noderunner.exe               46192 Services                   0    194,008 K
scanningprocess.exe          54412 Services                   0    190,512 K
MSExchangeMailboxReplicat     2080 Services                   0    178,684 K
Microsoft.Exchange.Diagno     1932 Services                   0    167,728 K
w3wp.exe                     56240 Services                   0    166,444 K
UMWorkerProcess.exe          38120 Services                   0    162,284 K
noderunner.exe               27264 Services                   0    153,756 K
w3wp.exe                     63168 Services                   0    152,980 K
powershell.exe               60836 RDP-Tcp#90                 2    145,464 K
ServerManager.exe            31128                            6    135,408 K
svchost.exe                    556 Services                   0    132,844 K
w3wp.exe                     24996 Services                   0    131,496 K
w3wp.exe                     26184 Services                   0    127,496 K
ParserServer.exe             49092 Services                   0    125,508 K
explorer.exe                  9688 RDP-Tcp#90                 2    115,072 K
